length,domain,segments
3,hl.cn,2
3,hn.cn,2
3,jl.cn,2
3,js.cn,2
3,jx.cn,2
3,ln.cn,2
3,nm.cn,2
3,nx.cn,2
3,qh.cn,2
3,sc.cn,2
3,sd.cn,2
3,sh.cn,2
3,sn.cn,2
3,sx.cn,2
3,tj.cn,2
3,xj.cn,2
3,xz.cn,2
3,yn.cn,2
3,zj.cn,2
3,hk.cn,2
3,mo.cn,2
3,tw.cn,2
2,co,1
3,arts.co,2
3,com.co,2
3,edu.co,2
3,firm.co,2
3,gov.co,2
3,info.co,2
3,int.co,2
3,mil.co,2
3,net.co,2
3,nom.co,2
3,org.co,2
3,rec.co,2
3,web.co,2
2,com,1
2,coop,1
2,cr,1
3,ac.cr,2
3,co.cr,2
3,ed.cr,2
3,fi.cr,2
3,go.cr,2
3,or.cr,2
3,sa.cr,2
2,cu,1
3,com.cu,2
3,edu.cu,2
3,org.cu,2
3,net.cu,2
3,gov.cu,2
3,inf.cu,2
2,cv,1
2,cw,1
3,com.cw,2
3,edu.cw,2
3,net.cw,2
3,org.cw,2
2,cx,1
3,gov.cx,2
3,cy,1
2,cz,1
2,de,1
2,dj,1
2,dk,1
2,dm,1
3,com.dm,2
3,net.dm,2
3,org.dm,2
3,edu.dm,2
3,gov.dm,2
2,do,1
3,art.do,2
3,com.do,2
3,edu.do,2
3,gob.do,2
3,gov.do,2
3,mil.do,2
3,net.do,2
3,org.do,2
3,sld.do,2
3,web.do,2
2,dz,1
3,com.dz,2
3,org.dz,2
3,net.dz,2
3,gov.dz,2
3,edu.dz,2
3,asso.dz,2
3,pol.dz,2
3,art.dz,2
2,ec,1
3,com.ec,2
3,info.ec,2
3,net.ec,2
3,fin.ec,2
3,k12.ec,2
3,med.ec,2
3,pro.ec,2
3,org.ec,2
3,edu.ec,2
3,gov.ec,2
3,gob.ec,2
3,mil.ec,2
2,edu,1
2,ee,1
3,edu.ee,2
3,gov.ee,2
3,riik.ee,2
3,lib.ee,2
3,med.ee,2
3,com.ee,2
3,pri.ee,2
3,aip.ee,2
3,org.ee,2
3,fie.ee,2
2,eg,1
3,com.eg,2
3,edu.eg,2
3,eun.eg,2
3,gov.eg,2
3,mil.eg,2
3,name.eg,2
3,net.eg,2
3,org.eg,2
3,sci.eg,2
3,er,1
2,es,1
3,com.es,2
3,nom.es,2
3,org.es,2
3,gob.es,2
3,edu.es,2
3,et,1
2,eu,1
2,fi,1
3,aland.fi,2
3,fj,1
3,fk,1
2,fm,1
2,fo,1
2,fr,1
3,com.fr,2
3,asso.fr,2
3,nom.fr,2
3,prd.fr,2
3,presse.fr,2
3,tm.fr,2
3,aeroport.fr,2
3,assedic.fr,2
3,avocat.fr,2
3,avoues.fr,2
3,cci.fr,2
3,chambagri.fr,2
3,chirurgiens-dentistes.fr,2
3,experts-comptables.fr,2
3,geometre-expert.fr,2
3,gouv.fr,2
3,greta.fr,2
3,huissier-justice.fr,2
3,medecin.fr,2
3,notaires.fr,2
3,pharmacien.fr,2
3,port.fr,2
3,veterinaire.fr,2
2,ga,1
2,gb,1
2,gd,1
2,ge,1
3,com.ge,2
3,edu.ge,2
3,gov.ge,2
3,org.ge,2
3,mil.ge,2
3,net.ge,2
3,pvt.ge,2
2,gf,1
2,gg,1
3,co.gg,2
3,net.gg,2
3,org.gg,2
2,gh,1
3,com.gh,2
3,edu.gh,2
3,gov.gh,2
3,org.gh,2
3,mil.gh,2
2,gi,1
3,com.gi,2
3,ltd.gi,2
3,gov.gi,2
3,mod.gi,2
3,edu.gi,2
3,org.gi,2
2,gl,1
2,gm,1
2,gn,1
3,ac.gn,2
3,com.gn,2
3,edu.gn,2
3,gov.gn,2
3,org.gn,2
3,net.gn,2
2,gov,1
2,gp,1
3,com.gp,2
3,net.gp,2
3,mobi.gp,2
3,edu.gp,2
3,org.gp,2
3,asso.gp,2
2,gq,1
2,gr,1
3,com.gr,2
3,edu.gr,2
3,net.gr,2
3,org.gr,2
3,gov.gr,2
2,gs,1
2,gt,1
3,com.gt,2
3,edu.gt,2
3,gob.gt,2
3,ind.gt,2
3,mil.gt,2
3,net.gt,2
3,org.gt,2
3,gu,1
2,gw,1
2,gy,1
3,co.gy,2
3,com.gy,2
3,net.gy,2
2,hk,1
3,com.hk,2
3,edu.hk,2
3,gov.hk,2
3,idv.hk,2
3,net.hk,2
3,org.hk,2
3,xn--55qx5d.hk,2
3,公司.hk,2
3,xn--wcvs22d.hk,2
3,教育.hk,2
3,敎育.hk,2
3,xn--lcvr32d.hk,2
3,xn--mxtq1m.hk,2
3,政府.hk,2
3,個人.hk,2
3,xn--gmqw5a.hk,2
3,个人.hk,2
3,xn--ciqpn.hk,2
3,xn--gmq050i.hk,2
3,箇人.hk,2
3,網络.hk,2
3,xn--zf0avx.hk,2
3,网络.hk,2
3,xn--io0a7i.hk,2
3,组織.hk,2
3,xn--mk0axi.hk,2
3,xn--od0alg.hk,2
3,網絡.hk,2
3,xn--od0aq3b.hk,2
3,网絡.hk,2
3,组织.hk,2
3,xn--tn0ag.hk,2
3,組織.hk,2
3,xn--uc0atv.hk,2
3,組织.hk,2
3,xn--uc0ay4a.hk,2
2,hm,1
2,hn,1
3,com.hn,2
3,edu.hn,2
3,org.hn,2
3,net.hn,2
3,mil.hn,2
3,gob.hn,2
2,hr,1
3,iz.hr,2
3,from.hr,2
3,name.hr,2
3,com.hr,2
2,ht,1
3,com.ht,2
3,shop.ht,2
3,firm.ht,2
3,info.ht,2
3,adult.ht,2
3,net.ht,2
3,pro.ht,2
3,org.ht,2
3,med.ht,2
3,art.ht,2
3,coop.ht,2
3,pol.ht,2
3,asso.ht,2
3,edu.ht,2
3,rel.ht,2
3,gouv.ht,2
3,perso.ht,2
2,hu,1
3,co.hu,2
3,info.hu,2
3,org.hu,2
3,priv.hu,2
3,sport.hu,2
3,tm.hu,2
3,2000.hu,2
3,agrar.hu,2
3,bolt.hu,2
3,casino.hu,2
3,city.hu,2
3,erotica.hu,2
3,erotika.hu,2
3,film.hu,2
3,forum.hu,2
3,games.hu,2
3,hotel.hu,2
3,ingatlan.hu,2
3,jogasz.hu,2
3,konyvelo.hu,2
3,lakas.hu,2
3,media.hu,2
3,news.hu,2
3,reklam.hu,2
3,sex.hu,2
3,shop.hu,2
